Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
Complex GMP-DOMP,500,500,0.001,-42.4578353731901,-42.456374577983,2643
Complex GMP-DOMP,500,500,0.0001,-50.621037813061,-50.6071818040958,2643
Complex GMP-DOMP,500,500,1e-05,-51.4958001409757,-51.4513943475627,2643
PN-IQ PN-DOMP,20,20,0.001,-49.4032119868115,-49.4288486772426,114
PN-IQ PN-DOMP,20,20,0.0001,-51.2467178394546,-51.2485424555621,114
PN-IQ PN-DOMP,20,20,1e-05,-51.2766921152952,-51.277049527386,114
PN-IQ PN-DOMP,30,30,0.001,-49.2946841467292,-49.3249302784706,141
PN-IQ PN-DOMP,30,30,0.0001,-51.2834894876359,-51.2921042345356,141
PN-IQ PN-DOMP,30,30,1e-05,-51.3338089700722,-51.340578182892,141
PN-IQ PN-DOMP,40,40,0.001,-49.2649805327619,-49.2919855537025,177
PN-IQ PN-DOMP,40,40,0.0001,-51.3225991937797,-51.3300697204644,177
PN-IQ PN-DOMP,40,40,1e-05,-51.3752679407076,-51.3822031327343,177
PN-IQ PN-DOMP,50,50,0.001,-49.2896385313461,-49.3166390346926,223
PN-IQ PN-DOMP,50,50,0.0001,-51.3478085340523,-51.3512437700869,223
PN-IQ PN-DOMP,50,50,1e-05,-51.4176601571683,-51.4133162299663,223
PN-IQ PN-DOMP,60,60,0.001,-49.2657252093002,-49.2930365790274,279
PN-IQ PN-DOMP,60,60,0.0001,-51.3581297914181,-51.3585262862775,279
PN-IQ PN-DOMP,60,60,1e-05,-51.429279286241,-51.4204235380336,279
PN-IQ PN-DOMP,70,70,0.001,-44.5647175890815,-44.5752143012916,307
PN-IQ PN-DOMP,70,70,0.0001,-51.0994954347297,-51.0996224004001,307
PN-IQ PN-DOMP,70,70,1e-05,-51.4386082120935,-51.4289479989779,307
PN-IQ PN-DOMP,80,80,0.001,-44.3837793135076,-44.4150220550429,341
PN-IQ PN-DOMP,80,80,0.0001,-51.0611959864913,-51.0619836373404,341
PN-IQ PN-DOMP,80,80,1e-05,-51.4430718725567,-51.4312118346501,341
PN-IQ PN-DOMP,90,90,0.001,-44.3556487229167,-44.3841245205,370
PN-IQ PN-DOMP,90,90,0.0001,-51.0657951989381,-51.0638968891386,370
PN-IQ PN-DOMP,90,90,1e-05,-51.4509401375396,-51.4351152855965,370
PN-IQ PN-DOMP,100,100,0.001,-44.3253924599073,-44.356115055422,402
PN-IQ PN-DOMP,100,100,0.0001,-51.0575536054164,-51.0532631264109,402
PN-IQ PN-DOMP,100,100,1e-05,-51.4586750765493,-51.4405613237614,402
PN-IQ PN-DOMP,110,110,0.001,-44.3168375871411,-44.3518031774921,441
PN-IQ PN-DOMP,110,110,0.0001,-51.0631119045084,-51.0565536337223,441
PN-IQ PN-DOMP,110,110,1e-05,-51.4636631078733,-51.4468812480299,441
PN-IQ PN-DOMP,120,120,0.001,-44.3197768464373,-44.3504927319787,468
PN-IQ PN-DOMP,120,120,0.0001,-51.0646270901359,-51.0570838351758,468
PN-IQ PN-DOMP,120,120,1e-05,-51.4711471627773,-51.4523566295397,468
PN-IQ PN-DOMP,130,130,0.001,-44.0361528779486,-44.0194501390442,507
PN-IQ PN-DOMP,130,130,0.0001,-51.0443524878901,-51.0308334624495,507
PN-IQ PN-DOMP,130,130,1e-05,-51.4737529581621,-51.4544008239673,507
PN-IQ PN-DOMP,140,140,0.001,-40.3334877464651,-40.3782176768796,531
PN-IQ PN-DOMP,140,140,0.0001,-50.3314962045957,-50.3348480687604,531
