Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,360,360,Validation-selected Ridge,1e-06,-51.4022792597446,-51.5355370524519,-51.4865690901996,1931,360,0,NaN,Not applicable,NaN,NaN,180,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,370,370,Validation-selected Ridge,1e-06,-51.4033668525077,-51.5361626105364,-51.4868275848937,1981,370,0,NaN,Not applicable,NaN,NaN,185,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,380,380,Validation-selected Ridge,1e-06,-51.4023351212781,-51.5366099857893,-51.4869243705564,2031,380,0,NaN,Not applicable,NaN,NaN,190,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,390,390,Validation-selected Ridge,1e-06,-51.4021984376414,-51.5375851028901,-51.4867946316673,2079,390,0,NaN,Not applicable,NaN,NaN,195,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,400,400,Validation-selected Ridge,0,-51.4036434890265,-51.5913659670503,-51.5161170406441,2129,400,0,NaN,Not applicable,NaN,NaN,200,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,410,410,Validation-selected Ridge,0,-51.4043172660512,-51.5931287653711,-51.5162990326114,2185,410,0,NaN,Not applicable,NaN,NaN,205,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,420,420,Validation-selected Ridge,0,-51.406160280314,-51.5946654856622,-51.5163827185745,2237,420,0,NaN,Not applicable,NaN,NaN,210,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,430,430,Validation-selected Ridge,0,-51.4077255287305,-51.5976527124436,-51.5180431859862,2291,430,0,NaN,Not applicable,NaN,NaN,215,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,440,440,Validation-selected Ridge,0,-51.4106660087597,-51.5990611677677,-51.518671541559,2341,440,0,NaN,Not applicable,NaN,NaN,220,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,450,450,Validation-selected Ridge,0,-51.41175793741,-51.6017527978776,-51.5189887576688,2391,450,0,NaN,Not applicable,NaN,NaN,225,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,460,460,Validation-selected Ridge,0,-51.4139156693015,-51.6047113714546,-51.5185869542548,2441,460,0,NaN,Not applicable,NaN,NaN,230,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,470,470,Validation-selected Ridge,0,-51.4156095382066,-51.6063382440436,-51.5187672262233,2491,470,0,NaN,Not applicable,NaN,NaN,235,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,480,480,Validation-selected Ridge,0,-51.4145969920407,-51.6079238601087,-51.5194526259415,2541,480,0,NaN,Not applicable,NaN,NaN,240,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,490,490,Validation-selected Ridge,0,-51.4154563751906,-51.6088889722109,-51.5196401588042,2591,490,0,NaN,Not applicable,NaN,NaN,245,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,500,500,Validation-selected Ridge,0,-51.4157268637113,-51.609936386692,-51.5199281683658,2643,500,0,NaN,Not applicable,NaN,NaN,250,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,20,20,Validation-selected Ridge,0,-51.1762384108924,-51.2770078103603,-51.2772589603641,114,20,0,NaN,Not applicable,1346,1285,10,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,30,30,Validation-selected Ridge,0,-51.2405341472396,-51.3632403099812,-51.369153976638,141,30,0,NaN,Not applicable,1346,1285,15,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,40,40,Validation-selected Ridge,0,-51.2878888932614,-51.4391401589055,-51.4419831393657,177,40,0,NaN,Not applicable,1346,1285,20,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,50,50,Validation-selected Ridge,0,-51.3555777725469,-51.4723790137791,-51.4642149113242,223,50,0,NaN,Not applicable,1346,1285,25,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,60,60,Validation-selected Ridge,0,-51.3929038107375,-51.4892220547345,-51.4773733008877,279,60,0,NaN,Not applicable,1346,1285,30,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,70,70,Validation-selected Ridge,0,-51.392415826689,-51.5001110167617,-51.4868111383177,307,70,0,NaN,Not applicable,1346,1285,35,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,80,80,Validation-selected Ridge,0,-51.3920499234522,-51.5091992786922,-51.4927057953708,341,80,0,NaN,Not applicable,1346,1285,40,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,90,90,Validation-selected Ridge,0,-51.3995481153906,-51.5142313179559,-51.493317534306,370,90,0,NaN,Not applicable,1346,1285,45,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,100,100,Validation-selected Ridge,0,-51.4047898042747,-51.5207878572978,-51.4976373504597,402,100,0,NaN,Not applicable,1346,1285,50,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,110,110,Validation-selected Ridge,0,-51.4096078528655,-51.5288712973372,-51.5070202120449,441,110,0,NaN,Not applicable,1346,1285,55,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,120,120,Validation-selected Ridge,0,-51.4114479701067,-51.5375050787799,-51.5134437148746,468,120,0,NaN,Not applicable,1346,1285,60,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,130,130,Validation-selected Ridge,0,-51.4111556668596,-51.5427542304577,-51.5156560906985,507,130,0,NaN,Not applicable,1346,1285,65,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,140,140,Validation-selected Ridge,0,-51.4077924701068,-51.5468209621521,-51.5186760195156,531,140,0,NaN,Not applicable,1346,1285,70,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,150,150,Validation-selected Ridge,0,-51.4178155120963,-51.5510238602663,-51.5203142954994,584,150,0,NaN,Not applicable,1346,1285,75,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,160,160,Validation-selected Ridge,0,-51.4153432509666,-51.5611884540371,-51.5290159478318,621,160,0,NaN,Not applicable,1346,1285,80,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,170,170,Validation-selected Ridge,0,-51.423222637181,-51.5679806647128,-51.5332883959967,649,170,0,NaN,Not applicable,1346,1285,85,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,180,180,Validation-selected Ridge,1e-06,-51.4239412859291,-51.5334010483512,-51.5024944336839,679,180,0,NaN,Not applicable,1346,1285,90,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,190,190,Validation-selected Ridge,1e-06,-51.4277230407994,-51.5350539101031,-51.5031539394316,712,190,0,NaN,Not applicable,1346,1285,95,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,200,200,Validation-selected Ridge,1e-06,-51.4280906497348,-51.5409791019504,-51.5094979211493,740,200,0,NaN,Not applicable,1346,1285,100,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,210,210,Validation-selected Ridge,1e-06,-51.4310807409247,-51.5449582506324,-51.5119013332956,767,210,0,NaN,Not applicable,1346,1285,105,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,220,220,Validation-selected Ridge,1e-06,-51.4298044147916,-51.5469008444736,-51.5138005068017,797,220,0,NaN,Not applicable,1346,1285,110,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,230,230,Validation-selected Ridge,1e-06,-51.4325420333161,-51.5500554369684,-51.5152848875442,826,230,0,NaN,Not applicable,1346,1285,115,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,240,240,Validation-selected Ridge,1e-06,-51.4276647313544,-51.5536153639643,-51.5159187772468,855,240,0,NaN,Not applicable,1346,1285,120,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,250,250,Validation-selected Ridge,1e-06,-51.4303930864619,-51.5573769299147,-51.517585569849,883,250,0,NaN,Not applicable,1346,1285,125,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,260,260,Validation-selected Ridge,1e-06,-51.4349002726093,-51.5612288218455,-51.5199143782704,907,260,0,NaN,Not applicable,1346,1285,130,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,270,270,Validation-selected Ridge,1e-06,-51.4490286595808,-51.563933342964,-51.5222402111808,934,270,0,NaN,Not applicable,1346,1285,135,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,280,280,Validation-selected Ridge,1e-06,-51.4506922688497,-51.5674498476142,-51.5234474742179,962,280,0,NaN,Not applicable,1346,1285,140,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,290,290,Validation-selected Ridge,1e-06,-51.4503494424838,-51.5711439802708,-51.5254339559309,992,290,0,NaN,Not applicable,1346,1285,145,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,300,300,Validation-selected Ridge,1e-06,-51.4502749634916,-51.5724808002824,-51.5252080961235,1020,300,0,NaN,Not applicable,1346,1285,150,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,310,310,Validation-selected Ridge,1e-06,-51.4541201299515,-51.5753059260777,-51.5285071031363,1047,310,0,NaN,Not applicable,1346,1285,155,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,320,320,Validation-selected Ridge,1e-06,-51.453040915858,-51.5765265798282,-51.5288204550679,1073,320,0,NaN,Not applicable,1346,1285,160,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,330,330,Validation-selected Ridge,1e-06,-51.4500950320224,-51.5819973933563,-51.5332256615524,1097,330,0,NaN,Not applicable,1346,1285,165,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
