Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
PN-IQ PN-DOMP,250,250,1e-05,-39.4369571498797,-39.43814843501,825,126.362632620528
PN-IQ PN-DOMP,260,260,0.001,-35.1989171938331,-35.1484073030548,853,86.3300900081968
PN-IQ PN-DOMP,260,260,0.0001,-38.4143435837509,-38.3912611200424,853,108.692765774161
PN-IQ PN-DOMP,260,260,1e-05,-39.4400718610855,-39.4409081763729,853,126.431805262909
PN-IQ PN-DOMP,270,270,0.001,-35.2099087998199,-35.1560758531511,879,86.3164338645427
PN-IQ PN-DOMP,270,270,0.0001,-38.4266871894808,-38.3990309198328,879,108.697424278946
PN-IQ PN-DOMP,270,270,1e-05,-39.4512534510093,-39.4472868728106,879,126.445683109972
PN-IQ PN-DOMP,280,280,0.001,-35.2172669697606,-35.164537478621,909,86.3206537786557
PN-IQ PN-DOMP,280,280,0.0001,-38.4392650431184,-38.4127519084341,909,108.655320662902
PN-IQ PN-DOMP,280,280,1e-05,-39.461953444654,-39.455971918624,909,126.504955338382
PN-IQ PN-DOMP,290,290,0.001,-35.2457693017669,-35.1930455872497,933,86.3077138500347
PN-IQ PN-DOMP,290,290,0.0001,-38.4504217354954,-38.4224097509848,933,108.714722558168
PN-IQ PN-DOMP,290,290,1e-05,-39.4740201514973,-39.4670241275018,933,126.462700634274
PN-IQ PN-DOMP,300,300,0.001,-35.2330678830304,-35.1818126421095,966,86.1352911327592
PN-IQ PN-DOMP,300,300,0.0001,-38.4638097671278,-38.4380889589313,966,108.705310300899
PN-IQ PN-DOMP,300,300,1e-05,-39.4878053514785,-39.482907266107,966,126.461278194071
PN-IQ PN-DOMP,310,310,0.001,-35.2391328331789,-35.1847009599739,1003,86.1242137253884
PN-IQ PN-DOMP,310,310,0.0001,-38.4726160731862,-38.4406507447039,1003,108.691970337261
PN-IQ PN-DOMP,310,310,1e-05,-39.495743341807,-39.4835137817132,1003,126.433349193731
