Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter
Independent PN-IQ PN-DOMP sweep,100,100,0,-40.1752371416455,-40.6055607228965,-40.6126969849333,345,100,0,NaN,NaN,6591691638106.36
Independent PN-IQ PN-DOMP sweep,110,110,0,-40.6871579937354,-40.8859644341988,-40.8888545049617,382,110,0,NaN,NaN,6504011890741.69
Independent PN-IQ PN-DOMP sweep,120,120,0,-40.9559735133872,-41.137721958904,-41.1544855487023,412,120,0,NaN,NaN,6449116124597.97
Independent PN-IQ PN-DOMP sweep,130,130,0,-41.1444642656428,-41.260037061353,-41.2726773234998,443,130,0,NaN,NaN,6254264278036.17
Independent PN-IQ PN-DOMP sweep,140,140,0,-41.5539801327235,-41.3888931708423,-41.3999465770188,487,140,0,NaN,NaN,6304637097408.81
Independent PN-IQ PN-DOMP sweep,150,150,0,-41.6666302961697,-41.53885724959,-41.5311446741762,517,150,0,NaN,NaN,6375815171412.27
Independent PN-IQ PN-DOMP sweep,160,160,0,-41.7306099781617,-41.6025975680042,-41.6112444947258,545,160,0,NaN,NaN,3.24347594488117e+15
Independent PN-IQ PN-DOMP sweep,170,170,0,-41.801706331949,-41.6602371810383,-41.6679528644574,579,170,0,NaN,NaN,3.23702395205608e+15
Independent PN-IQ PN-DOMP sweep,180,180,0,-41.9145190239562,-41.7020379413931,-41.7036982049802,608,180,0,NaN,NaN,3.25334019843512e+15
Independent PN-IQ PN-DOMP sweep,190,190,0,-42.082143703232,-42.1522189491378,-42.1510419905205,635,190,0,NaN,NaN,3.39697267843132e+15
Independent PN-IQ PN-DOMP sweep,200,200,0,-42.1182680344423,-42.2041968202315,-42.1980846040345,663,200,0,NaN,NaN,3.38588061234432e+15
Independent PN-IQ PN-DOMP sweep,210,210,0,-42.1401767014848,-42.3569503225277,-42.3354550909576,703,210,0,NaN,NaN,3.37961518083021e+15
Independent PN-IQ PN-DOMP sweep,220,220,0,-42.1995141880551,-42.4022937096764,-42.3736552354771,731,220,0,NaN,NaN,3.06072568580865e+15
Independent PN-IQ PN-DOMP sweep,230,230,0,-42.2194179458197,-42.4689869994593,-42.4499196245269,758,230,0,NaN,NaN,3.09260059055878e+15
Independent PN-IQ PN-DOMP sweep,240,240,0,-42.2641353815836,-42.497589813033,-42.4723272280191,790,240,0,NaN,NaN,3.04757465443822e+15
Independent PN-IQ PN-DOMP sweep,250,250,0,-42.4421656519219,-42.5293086664404,-42.5024896234708,825,250,0,NaN,NaN,3.00276810134472e+15
Independent PN-IQ PN-DOMP sweep,260,260,0,-42.4828064007161,-42.570550089631,-42.5412479448454,853,260,0,NaN,NaN,3.04074037672228e+15
