Model,TargetRealParameters,ActualRealParameters,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,FineTuneEpochs,MaxAbsRealParameter,NMSELossFromBestDb,PNNNGainOverGMPDb,FLOPsSavedVsBest,FLOPsSavedPercentVsBest,ParametersSavedVsBest,ParametersSavedPercentVsBest,GainFromPreviousPointDb,ExtraFLOPsFromPreviousPoint,MarginalGainDbPer100AdditionalFLOPs,NearOptimal,BeatsGMP,Admissible,Selected
Sparse PNNN N12,390,390,NaN,NaN,-39.3441507184185,-39.3033464616168,940,376,14,63.5658914728682,164,2.14483666419983,0.130890430401337,0.433126363250153,200,17.5438596491228,100,20.4081632653061,-0.0140222778855232,20,-0.0701113894276162,1,1,1,0
Sparse PNNN N12,400,400,NaN,NaN,-39.3348729149834,-39.2947434169106,960,386,14,62.5968992248062,164,2.142582654953,0.139493475107578,0.423546439937681,180,15.7894736842105,90,18.3673469387755,-0.00860304470624129,20,-0.0430152235312065,1,1,1,0
Sparse PNNN N12,410,410,NaN,NaN,-39.325972725931,-39.2921774902223,980,396,14,61.6279069767442,164,2.13983416557312,0.142059401795876,0.421749933480378,160,14.0350877192982,80,16.3265306122449,-0.00256592668829825,20,-0.0128296334414912,1,1,1,0
Sparse PNNN N12,420,420,NaN,NaN,-39.3173139649485,-39.283544487577,1000,406,14,60.6589147286822,164,2.13174605369568,0.150692404441116,0.414417755606415,140,12.280701754386,70,14.2857142857143,-0.00863300264524014,20,-0.0431650132262007,1,1,1,0
Sparse PNNN N12,430,430,NaN,NaN,-39.3546514154324,-39.3201411749832,1020,416,14,59.6899224806202,164,2.13274478912354,0.1140957170349,0.455165945115468,120,10.5263157894737,60,12.2448979591837,0.0365966874062167,20,0.182983437031083,1,1,1,0
Sparse PNNN N12,440,440,NaN,NaN,-39.3477522614931,-39.3171853898493,1040,426,14,58.7209302325581,164,2.14347624778748,0.117051502168835,0.453119026335258,100,8.7719298245614,50,10.2040816326531,-0.0029557851339348,20,-0.014778925669674,1,1,1,0
Sparse PNNN N12,450,450,NaN,NaN,-39.338210128869,-39.3078563979496,1060,436,14,57.7519379844961,164,2.14109134674072,0.126380494068535,0.443603313579295,80,7.01754385964912,40,8.16326530612245,-0.00932899189970016,20,-0.0466449594985008,1,1,1,0
Sparse PNNN N12,460,460,NaN,NaN,-39.3660956640491,-39.3369807974355,1080,446,14,56.7829457364341,164,2.14014911651611,0.097256094582626,0.4715786514275,60,5.26315789473684,30,6.12244897959184,0.0291243994859087,20,0.145621997429544,1,1,1,0
Sparse PNNN N12,470,470,NaN,NaN,-39.4186471947185,-39.3940516524108,1100,456,14,55.8139534883721,164,2.13872623443604,0.0401852396073537,0.529104198749181,40,3.50877192982456,20,4.08163265306122,0.0570708549752723,20,0.285354274876362,1,1,1,0
Sparse PNNN N12,480,480,NaN,NaN,-39.4520906026803,-39.4237511007717,1120,466,14,54.8449612403101,164,2.14108395576477,0.0104857912464524,0.556990963522956,20,1.75438596491228,10,2.04081632653061,0.0296994483609012,20,0.148497241804506,1,1,1,0
Sparse PNNN N12,490,490,NaN,NaN,-39.462143364215,-39.4342368920181,1140,476,14,53.8759689922481,164,2.13936376571655,0,0.566490934419861,0,0,0,0,0.0104857912464524,20,0.0524289562322622,1,1,1,0
Sparse PNNN N12,500,500,NaN,NaN,-39.4571594081825,-39.4307024304367,1160,486,14,52.906976744186,164,2.14356327056885,0.00353446158140969,0.565419547970592,-20,-1.75438596491228,-10,-2.04081632653061,-0.00353446158140969,20,-0.0176723079070484,1,1,1,0
