Model,SweepRole,TargetRealParameters,ActualRealParameters,RegularizationMode,SelectedLambda,InternalValidationNMSEdB,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,ActiveWeights,ActiveBiases,WeightSparsityPercent,DenseSourceSignature,CandidateFeatures,RetainedFeatures,ActiveFeatures,FineTuneEpochs,FineTuneBudgetSource,MaskIntegrityAfterPruning,MaskIntegrityAfterFineTune,PointTimeSeconds,ArtifactFile
Complex GMP DOMP sweep,Sweep point,490,490,Validation-selected Ridge,0,-38.5668362050297,-38.8142175237466,-38.5605403058688,2573,490,0,NaN,Not applicable,NaN,NaN,245,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Complex GMP DOMP sweep,Sweep point,500,500,Validation-selected Ridge,0,-38.565990806776,-38.825804844599,-38.5674536119553,2623,500,0,NaN,Not applicable,NaN,NaN,250,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,20,20,Validation-selected Ridge,0,-30.2980326508844,-30.2954090850971,-30.2402740598707,104,20,0,NaN,Not applicable,1346,1285,10,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,30,30,Validation-selected Ridge,0,-32.1650765446956,-32.2222211253024,-32.1950968104219,142,30,0,NaN,Not applicable,1346,1285,15,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,40,40,Validation-selected Ridge,0,-33.7199087435501,-34.0213083343314,-33.9902602468285,165,40,0,NaN,Not applicable,1346,1285,20,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,50,50,Validation-selected Ridge,0,-35.0259589604455,-34.8533059732726,-34.8455246927145,196,50,0,NaN,Not applicable,1346,1285,25,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,60,60,Validation-selected Ridge,0,-35.6609381058048,-35.9838216632081,-35.9757968337241,245,60,0,NaN,Not applicable,1346,1285,30,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,70,70,Validation-selected Ridge,0,-36.2900472640041,-36.5025282321594,-36.4723728435352,277,70,0,NaN,Not applicable,1346,1285,35,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,80,80,Validation-selected Ridge,0,-36.7117720996052,-36.7967417403755,-36.7280656017496,310,80,0,NaN,Not applicable,1346,1285,40,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
Independent PN-IQ PN-DOMP sweep,Sweep point,90,90,Validation-selected Ridge,0,-36.7480803428324,-37.0762990224276,-36.9972739687674,336,90,0,NaN,Not applicable,1346,1285,45,NaN,Not applicable,NaN,NaN,NaN,linear_sweep.mat
