Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
Complex GMP-DOMP,460,460,1e-05,-36.9841563365858,-36.901400150696,2420
Complex GMP-DOMP,470,470,0.001,-35.3128031925645,-35.2568107650047,2473
Complex GMP-DOMP,470,470,0.0001,-36.4776018011426,-36.4012378628374,2473
Complex GMP-DOMP,470,470,1e-05,-36.9942889471995,-36.9084455167342,2473
Complex GMP-DOMP,480,480,0.001,-35.317837207966,-35.262461553473,2523
Complex GMP-DOMP,480,480,0.0001,-36.4868494845181,-36.4116216545785,2523
Complex GMP-DOMP,480,480,1e-05,-37.0042525273332,-36.9184866774544,2523
Complex GMP-DOMP,490,490,0.001,-35.3215120807214,-35.2658238605657,2573
Complex GMP-DOMP,490,490,0.0001,-36.4937181285415,-36.4193556658031,2573
Complex GMP-DOMP,490,490,1e-05,-37.0090518977118,-36.9240917582788,2573
Complex GMP-DOMP,500,500,0.001,-35.3221342702,-35.2661677692932,2623
Complex GMP-DOMP,500,500,0.0001,-36.4954191259729,-36.4205920697208,2623
Complex GMP-DOMP,500,500,1e-05,-37.0108763004366,-36.9252932670126,2623
PN-IQ PN-DOMP,20,20,0.001,-29.6009844468828,-29.5490937216247,104
PN-IQ PN-DOMP,20,20,0.0001,-30.2835135276549,-30.2273759334581,104
PN-IQ PN-DOMP,20,20,1e-05,-30.2952833909197,-30.2400252581392,104
PN-IQ PN-DOMP,30,30,0.001,-31.4745218899344,-31.4594204358287,142
PN-IQ PN-DOMP,30,30,0.0001,-32.2001034850034,-32.1737376298812,142
PN-IQ PN-DOMP,30,30,1e-05,-32.2219626404204,-32.194878349379,142
PN-IQ PN-DOMP,40,40,0.001,-32.7690283793066,-32.7720836366872,165
PN-IQ PN-DOMP,40,40,0.0001,-33.9181675845246,-33.9048467786469,165
PN-IQ PN-DOMP,40,40,1e-05,-34.0192300254841,-33.9904899125335,165
PN-IQ PN-DOMP,50,50,0.001,-33.5138299319108,-33.5399789352239,196
PN-IQ PN-DOMP,50,50,0.0001,-34.66430856288,-34.6773710839993,196
PN-IQ PN-DOMP,50,50,1e-05,-34.8435874033346,-34.8398818972022,196
PN-IQ PN-DOMP,60,60,0.001,-33.8451617222633,-33.8599955665684,245
PN-IQ PN-DOMP,60,60,0.0001,-35.0743444749629,-35.0631085572647,245
PN-IQ PN-DOMP,60,60,1e-05,-35.4225718145947,-35.3960114295168,245
PN-IQ PN-DOMP,70,70,0.001,-34.2509572228545,-34.2510122324274,277
PN-IQ PN-DOMP,70,70,0.0001,-35.313927352409,-35.3095824690138,277
PN-IQ PN-DOMP,70,70,1e-05,-35.7267806581038,-35.7126154346235,277
PN-IQ PN-DOMP,80,80,0.001,-34.3569293651522,-34.3573111737774,310
PN-IQ PN-DOMP,80,80,0.0001,-35.5964580212154,-35.5883379155983,310
PN-IQ PN-DOMP,80,80,1e-05,-36.1643148512737,-36.1456221228129,310
PN-IQ PN-DOMP,90,90,0.001,-34.4332175099461,-34.4387671076948,336
PN-IQ PN-DOMP,90,90,0.0001,-35.6911937886249,-35.6869659719955,336
PN-IQ PN-DOMP,90,90,1e-05,-36.2234624800071,-36.2052150584835,336
PN-IQ PN-DOMP,100,100,0.001,-34.512156229218,-34.5143965384843,364
PN-IQ PN-DOMP,100,100,0.0001,-35.7699013140254,-35.7589516685764,364
PN-IQ PN-DOMP,100,100,1e-05,-36.3255841638473,-36.3019792269211,364
PN-IQ PN-DOMP,110,110,0.001,-34.5730530047644,-34.5628964435774,388
PN-IQ PN-DOMP,110,110,0.0001,-35.8254656089657,-35.7997878898709,388
PN-IQ PN-DOMP,110,110,1e-05,-36.3833351225459,-36.3446581362963,388
PN-IQ PN-DOMP,120,120,0.001,-34.6814256372237,-34.6730731370852,422
PN-IQ PN-DOMP,120,120,0.0001,-35.877672102854,-35.858058180442,422
PN-IQ PN-DOMP,120,120,1e-05,-36.435821782775,-36.4071055101192,422
PN-IQ PN-DOMP,130,130,0.001,-34.7208782451742,-34.7075906718008,457
PN-IQ PN-DOMP,130,130,0.0001,-35.937789435015,-35.9060090090173,457
PN-IQ PN-DOMP,130,130,1e-05,-36.5018454796781,-36.4579676547505,457
PN-IQ PN-DOMP,140,140,0.001,-34.8577128696354,-34.8499751744487,486
PN-IQ PN-DOMP,140,140,0.0001,-36.0328759834627,-35.9965281836864,486
PN-IQ PN-DOMP,140,140,1e-05,-36.5890107045545,-36.5388988536764,486
PN-IQ PN-DOMP,150,150,0.001,-35.042893207439,-35.025850319573,516
PN-IQ PN-DOMP,150,150,0.0001,-36.0999557267299,-36.0595881873003,516
PN-IQ PN-DOMP,150,150,1e-05,-36.6708868371307,-36.6190607698264,516
PN-IQ PN-DOMP,160,160,0.001,-35.0935578366084,-35.0655028410604,542
PN-IQ PN-DOMP,160,160,0.0001,-36.1681819208441,-36.1233032579358,542
PN-IQ PN-DOMP,160,160,1e-05,-36.7693861007105,-36.7126548877996,542
PN-IQ PN-DOMP,170,170,0.001,-35.1555441636335,-35.1269334849396,569
PN-IQ PN-DOMP,170,170,0.0001,-36.2183536924754,-36.171252978856,569
PN-IQ PN-DOMP,170,170,1e-05,-36.8107662138525,-36.7526443316669,569
PN-IQ PN-DOMP,180,180,0.001,-35.1963053674931,-35.1571868548047,618
PN-IQ PN-DOMP,180,180,0.0001,-36.2520019399725,-36.1956764794223,618
PN-IQ PN-DOMP,180,180,1e-05,-36.8512617104904,-36.7866752341521,618
PN-IQ PN-DOMP,190,190,0.001,-35.2474724340324,-35.2096093479643,645
PN-IQ PN-DOMP,190,190,0.0001,-36.2776180150741,-36.2231003948199,645
PN-IQ PN-DOMP,190,190,1e-05,-36.8918317048048,-36.8284647578488,645
PN-IQ PN-DOMP,200,200,0.001,-35.2465823549736,-35.2093104323068,686
PN-IQ PN-DOMP,200,200,0.0001,-36.3143145721075,-36.2609133104444,686
PN-IQ PN-DOMP,200,200,1e-05,-36.9113225074777,-36.8504043005518,686
PN-IQ PN-DOMP,210,210,0.001,-35.3060403858432,-35.2713037959943,722
PN-IQ PN-DOMP,210,210,0.0001,-36.3488064064902,-36.3018304151419,722
PN-IQ PN-DOMP,210,210,1e-05,-36.9532369184117,-36.8933933183572,722
PN-IQ PN-DOMP,220,220,0.001,-35.325689479589,-35.2871982913182,752
PN-IQ PN-DOMP,220,220,0.0001,-36.3979373206894,-36.3439182744688,752
PN-IQ PN-DOMP,220,220,1e-05,-36.983410649169,-36.9128769461418,752
PN-IQ PN-DOMP,230,230,0.001,-35.3386310397755,-35.2985902496408,782
PN-IQ PN-DOMP,230,230,0.0001,-36.4139505125961,-36.357004363538,782
PN-IQ PN-DOMP,230,230,1e-05,-37.0083264697706,-36.9373345753299,782
PN-IQ PN-DOMP,240,240,0.001,-35.3492923877527,-35.306863575036,814
PN-IQ PN-DOMP,240,240,0.0001,-36.4314765065925,-36.3691416148064,814
PN-IQ PN-DOMP,240,240,1e-05,-37.0299608529344,-36.9523840455897,814
PN-IQ PN-DOMP,250,250,0.001,-35.3537215628887,-35.3092616535899,853
PN-IQ PN-DOMP,250,250,0.0001,-36.444059851787,-36.382058351808,853
PN-IQ PN-DOMP,250,250,1e-05,-37.0418464169103,-36.9631942727699,853
PN-IQ PN-DOMP,260,260,0.001,-35.290883315556,-35.2468561922343,878
PN-IQ PN-DOMP,260,260,0.0001,-36.4544928273362,-36.3936367076843,878
PN-IQ PN-DOMP,260,260,1e-05,-37.0518776505315,-36.9742473605941,878
PN-IQ PN-DOMP,270,270,0.001,-35.3349000167704,-35.2868792266583,908
PN-IQ PN-DOMP,270,270,0.0001,-36.514269180136,-36.4464090058285,908
PN-IQ PN-DOMP,270,270,1e-05,-37.0866717917329,-37.0063829535973,908
PN-IQ PN-DOMP,280,280,0.001,-35.3419590073065,-35.2907897647417,939
PN-IQ PN-DOMP,280,280,0.0001,-36.5338487780449,-36.4638427221738,939
PN-IQ PN-DOMP,280,280,1e-05,-37.1150754040878,-37.0338669769179,939
PN-IQ PN-DOMP,290,290,0.001,-35.3644006071616,-35.3140170146162,967
PN-IQ PN-DOMP,290,290,0.0001,-36.5634389319548,-36.4954638780665,967
